WKT,ad,yol_adi,from_node,to_node,uzunluk,tip1_talep,tip2_talep,yon,avg297_sefer1_service,avg297_sefer1_sira,ayt275_sefer1_service,ayt275_sefer1_sira,avg_gecis,ayt_gecis,azu_gecis,mahalle
"LINESTRING (27.1934631 38.3689645, 27.1935779 38.3689644)",,205/2 sk.,377,417,10,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1935779 38.3689644, 27.1941069 38.3690691)",,205/5 sk.,377,378,48,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1935779 38.3689644, 27.1936727 38.3688224, 27.1938056 38.3685649, 27.1939317 38.3682926, 27.1939535 38.368147)",,205/2 sk.,376,377,97,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1933398 38.3695486, 27.1937933 38.3696262, 27.1938174 38.3696278, 27.1938402 38.3696209, 27.1938596 38.3696107, 27.1941069 38.3690691)",,205/36 sk.,378,379,111,1400,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1934631 38.3689645, 27.1933398 38.3695486)",,205/2 sk.,379,417,66,0,3000,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1921633 38.3683595, 27.1924449 38.3686765, 27.1925811 38.3688718)",,205 sk.,413,425,68,700,0,cift,1,33,0,0,1,1,1,kurucesme
"LINESTRING (27.1925811 38.3688718, 27.1926278 38.3690486)",,205 sk.,418,425,20,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1926278 38.3690486, 27.1926499 38.3691633)",,205 sk.,418,419,13,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1926278 38.3690486, 27.1934391 38.3689081)",,205/41 sk.,416,418,73,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1939535 38.368147, 27.1946797 38.3679995, 27.1951435 38.3679266)",,205/6 sk.,375,376,107,0,6000,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1951435 38.3679266, 27.1953321 38.3679216)",,205/6 sk.,290,375,16,0,3000,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1952217 38.3681477, 27.1953321 38.3679216)",,203/47 sk.,290,291,27,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1951435 38.3679266, 27.195232 38.3674502)",,205/7 sk.,374,375,54,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.195232 38.3674502, 27.195299 38.3667084)",,205/7 sk.,373,374,83,1400,0,cift,1,31,0,0,1,1,1,kurucesme
"LINESTRING (27.1949985 38.3666759, 27.1949353 38.3665402, 27.1948897 38.3664861, 27.1948762 38.3664593, 27.1948729 38.3664359, 27.1948695 38.3663712, 27.1949038 38.3661991)",,205/31 sk.,363,364,56,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1949038 38.3661991, 27.1953843 38.3662298)",,205/31 sk.,364,365,42,0,0,cift,0,0,0,0,1,1,1,kurucesme
